Date,Open,High,Low,Close,Adj Close,Volume
2017-07-27,56.849998474121094,56.849998474121094,56.79999923706055,56.79999923706055,55.585350036621094,9600
2017-07-28,57.900001525878906,58.0,57.75,58.0,56.75968933105469,12800
2017-07-31,60.900001525878906,60.900001525878906,56.5,56.5,55.2917594909668,22400
2017-08-01,56.75,57.875,56.5,56.5,55.2917594909668,28800
2017-08-02,56.849998474121094,56.849998474121094,56.67499923706055,56.67499923706055,55.4630241394043,12800
2017-08-03,56.849998474121094,57.0,56.75,57.0,55.78106689453125,12800
2017-08-04,56.79999923706055,57.025001525878906,56.75,57.025001525878906,55.80553436279297,9600
2017-08-07,56.75,57.125,56.599998474121094,57.125,55.903404235839844,9600
2017-08-08,53.75,57.25,53.75,55.79999923706055,54.60673522949219,12800
2017-08-09,53.75,55.5,53.75,55.5,54.31314468383789,9600
2017-08-10,53.5,54.5,53.5,54.5,53.33453369140625,9600
2017-08-11,53.54999923706055,54.0,53.5,54.0,52.84522247314453,38400
2017-08-14,53.54999923706055,54.025001525878906,53.525001525878906,54.025001525878906,52.869693756103516,9600
2017-08-16,53.525001525878906,53.75,53.5,53.5,52.35591506958008,12800
2017-08-17,56.0,56.0,55.875,55.974998474121094,54.77798843383789,12800
2017-08-18,57.0,57.25,57.0,57.25,56.025726318359375,9600
2017-08-21,57.5,57.75,57.5,57.75,56.51503372192383,9600
2017-08-22,57.0,57.400001525878906,53.0,53.0,51.86661148071289,25600
2017-08-23,57.0,57.25,56.95000076293945,56.95000076293945,55.732139587402344,9600
2017-08-24,57.0,57.0,53.04999923706055,53.25,52.11126708984375,16000
2017-08-28,56.0,57.25,54.0,54.0,52.84522247314453,64000
2017-08-29,56.0,56.0,55.400001525878906,55.400001525878906,54.21529006958008,9600
2017-08-30,56.25,56.25,54.5,54.5,53.33453369140625,9600
2017-08-31,54.75,54.75,54.25,54.25,53.08987808227539,9600
2017-09-01,55.0,55.0,52.75,53.75,52.6005744934082,32000
2017-09-04,54.75,55.0,54.5,54.5,53.33453369140625,9600
2017-09-05,56.0,56.0,55.75,55.875,54.68013000488281,9600
2017-09-06,56.125,56.67499923706055,54.0,54.0,52.84522247314453,54400
2017-09-07,55.5,55.54999923706055,55.349998474121094,55.349998474121094,54.16635513305664,12800
2017-09-08,55.75,56.0,55.45000076293945,56.0,54.802452087402344,9600
2017-09-11,56.5,60.0,56.5,60.0,58.7169189453125,16000
2017-09-12,60.099998474121094,60.17499923706055,59.900001525878906,59.900001525878906,58.61906433105469,9600
2017-09-13,59.0,59.17499923706055,59.0,59.17499923706055,57.90956497192383,9600
2017-09-14,59.5,59.5,56.5,56.5,55.2917594909668,12800
2017-09-15,58.0,58.0,57.0,57.5,56.2703742980957,19200
2017-09-18,58.79999923706055,58.79999923706055,58.5,58.5,57.248992919921875,9600
2017-09-19,59.0,59.0,58.599998474121094,59.0,57.73830032348633,16000
2017-09-20,59.5,59.5,59.125,59.20000076293945,57.934024810791016,9600
2017-09-21,59.5,60.25,59.5,60.25,58.96157455444336,12800
2017-09-22,59.75,59.875,59.75,59.875,58.5945930480957,9600
2017-09-25,59.5,59.54999923706055,59.45000076293945,59.45000076293945,58.17867660522461,9600
2017-09-26,59.5,59.5,59.0,59.0,57.73830032348633,9600
2017-09-27,59.0,59.125,55.5,55.5,54.31314468383789,12800
2017-09-28,57.0,57.125,57.0,57.04999923706055,55.83000564575195,9600
2017-09-29,58.75,59.0,58.70000076293945,58.70000076293945,57.44471740722656,9600
2017-10-03,57.5,57.54999923706055,57.45000076293945,57.45000076293945,56.2214469909668,9600
2017-10-04,58.25,58.400001525878906,53.5,53.5,52.35591506958008,12800
